date,open,high,low,close,volume,adjclose
1998-02-27,17.375,18.0,17.375,17.375,50000,14.866860389709473
1998-03-02,17.25,17.25,17.0,17.25,75000,14.75990390777588
1998-03-03,17.125,17.125,16.75,17.125,35000,14.652945518493652
1998-03-04,15.75,15.75,15.5,15.75,60000,13.476432800292967
1998-03-05,16.125,16.125,16.125,16.125,400,13.79730224609375
1998-03-06,16.125,16.375,16.125,16.125,3600,13.79730224609375
1998-03-09,16.125,16.5,15.875,15.875,3200,13.583386421203613
1998-03-10,15.875,16.875,15.875,16.25,56800,13.904254913330078
1998-03-11,16.25,16.5,16.125,16.25,10400,13.904254913330078
1998-03-12,16.25,16.375,16.125,16.375,3800,14.011215209960938
1998-03-13,16.5,16.5,16.5,16.5,1000,14.118168830871582
1998-03-16,16.5,16.5,16.125,16.125,7700,13.79730224609375
1998-03-17,16.125,16.125,15.75,15.875,28000,13.583386421203613
1998-03-18,15.875,16.125,15.75,16.125,45700,13.79730224609375
1998-03-19,16.125,17.375,16.0,17.125,383600,14.652945518493652
1998-03-20,17.25,17.75,17.25,17.75,275600,15.187726020812988
1998-03-23,17.75,19.0,17.375,18.875,398600,16.150331497192386
1998-03-24,18.875,19.875,18.875,19.75,261800,16.899024963378903
1998-03-25,19.75,20.125,19.5,19.875,135600,17.00596809387207
1998-03-26,19.875,19.875,19.25,19.625,26300,16.792060852050778
1998-03-27,19.625,19.75,18.375,19.25,62200,16.471199035644528
1998-03-30,19.25,19.875,19.25,19.875,49500,17.00596809387207
1998-03-31,19.875,20.25,19.875,20.125,79000,17.21988868713379
1998-04-01,20.125,20.625,20.0,20.5,150100,17.540754318237305
1998-04-02,21.75,23.375,21.75,23.25,140500,19.893781661987305
1998-04-03,23.25,26.125,21.75,24.75,458700,21.177249908447266
1998-04-06,24.75,26.0,23.0,24.0,105300,20.5355167388916
1998-04-07,24.0,24.0,22.125,22.125,152800,18.931182861328125
1998-04-08,22.125,23.0,21.0,22.5,45100,19.252046585083008
1998-04-09,22.5,23.0,22.25,23.0,151400,19.67987060546875
1998-04-13,23.0,23.25,22.375,22.625,85900,19.358999252319336
1998-04-14,22.625,23.0,22.5,22.75,322900,19.465959548950195
1998-04-15,22.75,22.875,21.5,21.75,23100,18.61031150817871
1998-04-16,21.75,21.75,20.875,21.25,55400,18.1824893951416
1998-04-17,21.25,21.625,21.0,21.625,15100,18.50336456298828
1998-04-20,21.625,22.125,21.25,22.125,92900,18.931182861328125
1998-04-21,22.125,22.125,21.75,22.125,23100,18.931182861328125
1998-04-22,22.125,23.625,22.125,23.0,60900,19.67987060546875
1998-04-23,23.0,23.5,23.0,23.5,242300,20.107696533203125
1998-04-24,23.5,23.625,22.0,22.0,100900,18.82422065734864
1998-04-27,22.0,22.5,19.875,20.875,52200,17.861618041992188
1998-04-28,20.875,21.875,20.75,21.5,29100,18.39639663696289
1998-04-29,21.5,22.5,21.0,22.5,101300,19.252046585083008
1998-04-30,22.5,23.25,22.375,23.0,116300,19.67987060546875
1998-05-01,23.0,23.125,22.0,22.125,61000,18.931182861328125
1998-05-04,22.125,22.25,21.25,21.625,58400,18.50336456298828
1998-05-05,21.625,21.75,20.75,21.25,44000,18.1824893951416
1998-05-06,21.25,22.0,20.875,22.0,47300,18.82422065734864
1998-05-07,22.0,22.125,21.375,21.375,230900,18.28944396972656
1998-05-08,21.75,22.75,21.75,22.625,320700,19.358999252319336
1998-05-11,22.625,22.75,22.25,22.375,375200,19.14508819580078
1998-05-12,22.375,22.625,22.0,22.0,333300,18.82422065734864
1998-05-13,22.125,22.625,22.125,22.375,88100,19.14508819580078
1998-05-14,22.375,22.5,22.0,22.5,35600,19.252046585083008
1998-05-15,22.5,22.5,21.5,22.0,69200,18.82422065734864
1998-05-18,22.0,22.125,21.0,21.5,53200,18.39639663696289
1998-05-19,21.5,22.0,21.5,22.0,21000,18.82422065734864
1998-05-20,22.0,22.0,21.0,21.0,14100,17.968578338623047
1998-05-21,21.0,21.125,19.5,21.125,116400,18.075536727905273
1998-05-22,20.75,20.75,20.25,20.625,45100,17.647706985473633
1998-05-26,20.625,21.0,19.125,19.5,119500,16.685111999511722
1998-05-27,19.5,19.5,18.75,19.25,91100,16.471199035644528
1998-05-28,19.25,20.5,18.75,20.5,163600,17.540754318237305
1998-05-29,20.5,22.5,20.5,22.5,121900,19.252046585083008
1998-06-01,22.5,22.5,22.0,22.125,258500,18.931182861328125
1998-06-02,22.125,22.5,22.125,22.375,123400,19.14508819580078
1998-06-03,22.375,22.5,20.75,20.75,180600,17.754669189453125
1998-06-04,20.75,21.0,20.0,20.75,263200,17.754669189453125
1998-06-05,21.0,23.0,21.0,22.875,290100,19.572908401489254
1998-06-08,23.25,23.625,22.5,23.0,2718000,19.67987060546875
1998-06-09,23.0,23.0,22.0,22.375,604900,19.14508819580078
