date,open,high,low,close,volume,adjclose
1999-03-31,451.5,517.5,438.0,497.25,1322900,497.25
1999-04-01,550.5,552.0,475.5,483.0,483200,483.0
1999-04-05,501.0,504.0,435.0,450.75,324900,450.75
1999-04-06,452.25,484.125,420.0,474.0,353900,474.0
1999-04-07,480.75,487.5,442.5,447.0,156600,447.0
1999-04-08,447.0,450.75,423.75,435.0,147700,435.0
1999-04-09,432.0,456.0,406.5,444.0,141900,444.0
1999-04-12,420.75,475.5,414.0,459.375,182800,459.375
1999-04-13,472.5,515.25,463.5,489.0,240000,489.0
1999-04-14,554.25,595.5,510.0,558.75,627900,558.75
1999-04-15,564.0,564.0,459.0,479.25,339100,479.25
1999-04-16,486.0,510.0,438.0,488.25,176600,488.25
1999-04-19,490.5,492.0,348.0,359.25,229100,359.25
1999-04-20,359.25,414.0,348.0,405.75,264100,405.75
1999-04-21,429.0,456.0,405.75,447.0,150400,447.0
1999-04-22,486.375,490.5,441.0,458.25,145600,458.25
1999-04-23,516.375,574.5,492.0,528.0,741700,528.0
1999-04-26,626.625,728.625,604.5,724.5,1352300,724.5
1999-04-27,738.75,840.0,720.75,778.125,1196700,778.125
1999-04-28,749.625,806.625,696.0,726.0,448800,726.0
1999-04-29,690.375,833.25,690.0,826.875,721900,826.875
1999-04-30,909.0,990.0,810.0,974.25,845400,974.25
1999-05-03,914.625,953.25,833.25,835.5,873300,835.5
1999-05-04,855.75,900.0,783.75,804.0,692700,804.0
1999-05-05,847.125,912.0,720.75,907.125,1264000,907.125
1999-05-06,888.0,912.0,827.25,836.625,632000,836.625
1999-05-07,865.5,865.875,777.75,783.9375,569600,783.9375
1999-05-10,768.0,791.25,726.0,768.0,449100,768.0
1999-05-11,807.0,808.5,738.0,738.0,286400,738.0
1999-05-12,736.5,774.0,732.0,756.0,240500,756.0
1999-05-13,779.25,792.0,726.0,729.0,187100,729.0
1999-05-14,720.0,807.0,714.0,796.875,792600,796.875
1999-05-17,789.0,793.875,744.0,790.5,341400,790.5
1999-05-18,787.5,838.5,766.125,816.75,418500,816.75
1999-05-19,820.5,865.5,808.5,855.0,226500,855.0
1999-05-20,869.625,870.0,786.75,806.25,174400,806.25
1999-05-21,871.875,874.5,822.0,833.625,553700,833.625
1999-05-24,829.5,833.25,726.75,752.0625,314600,752.0625
1999-05-25,726.0,776.25,618.0,624.0,540600,624.0
1999-05-26,651.0,690.0,582.0,682.6875,691100,682.6875
1999-05-27,676.5,702.0,654.375,664.875,273600,664.875
1999-05-28,642.0,673.5,636.0,672.1875,194800,672.1875
1999-06-01,657.75,663.0,585.0,596.625,353900,596.625
1999-06-02,577.5,634.125,534.75,557.4375,748000,557.4375
1999-06-03,560.25,575.25,504.0,504.75,448400,504.75
1999-06-04,507.0,553.5,500.25,541.875,431800,541.875
1999-06-07,555.0,657.0,549.75,609.0,738100,609.0
1999-06-08,629.25,666.0,609.75,625.5,560200,625.5
1999-06-09,639.75,653.25,617.25,630.0,224700,630.0
1999-06-10,604.125,624.75,600.0,613.5,290500,613.5
1999-06-11,624.0,637.5,570.0,574.125,268300,574.125
1999-06-14,564.0,564.0,459.0,461.25,534300,461.25
1999-06-15,456.75,505.875,448.5,470.625,544200,470.625
1999-06-16,510.0,540.0,502.5,531.0,522100,531.0
1999-06-17,525.0,570.0,502.125,533.625,439000,533.625
1999-06-18,548.25,571.125,546.0,564.0,257800,564.0
1999-06-21,574.5,655.5,571.5,637.875,484800,637.875
1999-06-22,654.375,716.625,634.5,652.5,766100,652.5
1999-06-23,624.0,683.625,624.0,665.25,435500,665.25
1999-06-24,649.5,657.0,612.0,612.0,314100,612.0
1999-06-25,632.625,644.25,573.0,574.5,380400,574.5
1999-06-28,594.0,633.75,552.0,633.0,444400,633.0
1999-06-29,618.75,666.0,614.625,645.0,384400,645.0
1999-06-30,637.5,714.0,625.5,693.375,437400,693.375
1999-07-01,701.25,710.25,643.5,645.0,329500,645.0
1999-07-02,654.0,681.0,654.0,669.0,183600,669.0
1999-07-06,681.375,703.125,672.0,672.0,314200,672.0
1999-07-07,678.0,678.0,639.0,666.0,274000,666.0
