date,open,high,low,close,volume,adjclose
1999-10-01,14.0,14.25,14.0,14.125,3162400,9.548270225524902
1999-10-04,14.125,14.125,14.0,14.0,533400,9.463774681091307
1999-10-05,14.0,14.125,14.0,14.125,270600,9.548270225524902
1999-10-06,14.125,14.875,14.125,14.875,205400,10.055259704589844
1999-10-07,14.875,14.875,14.0625,14.125,214200,9.548270225524902
1999-10-08,14.1875,14.1875,14.0625,14.0625,65600,9.506023406982422
1999-10-11,14.0625,14.125,14.0,14.0625,77500,9.506023406982422
1999-10-12,14.0625,14.125,14.0,14.125,49200,9.548270225524902
1999-10-13,14.125,14.375,14.0,14.0625,49900,9.506023406982422
1999-10-14,14.0,14.0625,13.25,13.625,430900,9.21027946472168
1999-10-15,13.125,13.1875,12.6875,13.0625,158200,8.83004093170166
1999-10-18,13.0,13.0,12.5,12.8125,83800,8.661044120788574
1999-10-19,12.75,13.25,12.75,13.25,58200,8.956789016723633
1999-10-20,13.375,13.5,13.125,13.125,62600,8.872291564941406
1999-10-21,13.125,13.4375,13.0,13.4375,98200,9.083537101745604
1999-10-22,13.375,13.5625,13.3125,13.5,191200,9.125783920288086
1999-10-25,13.4375,13.9375,13.4375,13.9375,153100,9.421525955200195
1999-10-26,13.8125,14.125,13.8125,14.0,65600,9.463774681091307
1999-10-27,14.0,14.1875,14.0,14.0625,100900,9.506023406982422
1999-10-28,14.1875,14.5,14.125,14.125,255300,9.548270225524902
1999-10-29,14.125,15.25,14.125,15.25,123200,10.30875301361084
1999-11-01,15.0,15.0,14.625,14.75,41800,9.970758438110352
1999-11-02,14.75,14.875,14.3125,14.75,66600,9.970758438110352
1999-11-03,14.6875,14.875,14.6875,14.75,18500,9.970758438110352
1999-11-04,14.875,15.125,14.5,14.9375,72100,10.097509384155273
1999-11-05,15.0,15.875,14.875,15.75,122900,10.64674472808838
1999-11-08,15.875,17.375,15.8125,16.625,240000,11.238232612609863
1999-11-09,16.75,16.75,16.125,16.125,42400,10.900242805480957
1999-11-10,16.0,16.125,15.8125,16.0625,59900,10.857990264892578
1999-11-11,16.0625,16.25,16.0625,16.125,20000,10.900242805480957
1999-11-12,16.25,18.5,16.25,18.0,248500,12.16770839691162
1999-11-15,18.1875,18.1875,17.5,17.6875,99200,11.95646858215332
1999-11-16,17.6875,17.6875,17.375,17.4375,95300,11.787467956542967
1999-11-17,17.6875,18.25,17.25,17.5,107900,11.82971477508545
1999-11-18,17.5,17.5,17.25,17.25,67500,11.660721778869627
1999-11-19,17.25,17.75,17.1875,17.625,31200,11.91421604156494
1999-11-22,17.5625,17.875,17.5625,17.8125,36500,12.040964126586914
1999-11-23,17.8125,19.375,17.8125,19.125,65500,12.928193092346193
1999-11-24,19.0,19.0,18.375,18.5625,53800,12.547948837280273
1999-11-26,18.5,18.5,18.375,18.4375,2600,12.463448524475098
1999-11-29,18.375,18.375,17.875,18.125,20200,12.252211570739744
1999-11-30,18.1875,18.5,18.1875,18.375,38100,12.421209335327148
1999-12-01,18.375,18.625,18.25,18.5625,43800,12.547948837280273
1999-12-02,18.5625,19.0,18.5625,19.0,33200,12.843692779541016
1999-12-03,19.125,19.375,19.0625,19.1875,62000,12.97044277191162
1999-12-06,19.1875,19.1875,18.25,18.375,38200,12.421209335327148
1999-12-07,18.5,19.0,18.4375,18.625,112500,12.590200424194336
1999-12-08,18.5,18.5,18.0,18.1875,27700,12.29445743560791
1999-12-09,18.25,18.375,18.125,18.25,15500,12.336703300476074
1999-12-10,18.125,18.125,17.625,17.625,22400,11.91421604156494
1999-12-13,17.75,18.0,17.4375,17.4375,44500,11.787467956542967
1999-12-14,17.25,17.25,17.0625,17.125,19400,11.576223373413086
1999-12-15,17.125,17.125,16.875,17.125,11100,11.576223373413086
1999-12-16,17.0625,17.25,16.8125,16.8125,90700,11.364981651306152
1999-12-17,16.6875,17.25,16.6875,17.125,37300,11.576223373413086
1999-12-20,17.0,17.0,16.8125,16.9375,31300,11.449478149414062
1999-12-21,16.9375,17.0625,16.875,17.0,11800,11.491728782653807
1999-12-22,17.125,17.375,17.125,17.1875,6300,11.618471145629885
1999-12-23,17.1875,17.25,17.0,17.125,3700,11.576223373413086
1999-12-27,17.0625,17.125,17.0625,17.125,2400,11.576223373413086
1999-12-28,17.0625,17.625,17.0625,17.375,65600,11.745220184326172
1999-12-29,17.4375,17.4375,17.125,17.25,9600,11.660721778869627
1999-12-30,17.125,17.375,17.125,17.3125,5100,11.702973365783693
1999-12-31,17.25,17.375,17.1875,17.1875,13000,11.618471145629885
2000-01-03,17.4375,17.5,16.625,16.625,64600,11.238232612609863
2000-01-04,16.625,16.625,15.625,15.875,81900,10.731245040893556
2000-01-05,15.75,15.75,15.0,15.75,38100,10.64674472808838
2000-01-06,15.75,16.25,15.75,16.0,41200,10.81574249267578
2000-01-07,15.875,16.25,15.75,15.875,34700,10.731245040893556
2000-01-10,16.5,16.5,16.0,16.0,94200,10.81574249267578
2000-01-11,16.125,16.875,16.0,16.4375,39700,11.111486434936523
2000-01-12,16.5,17.125,16.5,17.125,25100,11.576223373413086
2000-01-13,17.25,17.5,16.875,16.9375,62000,11.449478149414062
2000-01-14,17.0,17.75,16.875,17.5,183100,11.82971477508545
2000-01-18,17.75,18.25,17.75,18.0,77300,12.16770839691162
2000-01-19,18.0,18.375,17.9375,18.25,34500,12.336703300476074
2000-01-20,18.25,18.25,17.375,17.5,42200,11.82971477508545
2000-01-21,17.4375,17.5,17.25,17.375,16000,11.745220184326172
2000-01-24,17.5,17.5,17.0,17.125,10700,11.576223373413086
2000-01-25,17.125,17.5,17.0625,17.25,19200,11.660721778869627
2000-01-26,17.25,17.5,17.25,17.4375,16600,11.787467956542967
2000-01-27,17.4375,18.0,17.4375,17.5,33600,11.82971477508545
2000-01-28,17.625,17.625,17.3125,17.375,3900,11.745220184326172
2000-01-31,17.125,17.5,17.125,17.5,53900,11.82971477508545
2000-02-01,17.375,17.75,17.375,17.75,15400,11.998717308044435
2000-02-02,18.0,18.125,17.875,17.9375,92700,12.125462532043455
2000-02-03,18.0625,18.125,17.9375,18.0,35200,12.16770839691162
2000-02-04,18.125,18.5625,18.125,18.4375,51500,12.463448524475098
2000-02-07,18.4375,18.5625,18.375,18.5,25200,12.505701065063475
2000-02-08,18.5,18.875,18.5,18.5625,45300,12.547948837280273
2000-02-09,18.75,18.75,18.375,18.375,9100,12.421209335327148
2000-02-10,18.5,18.5,17.875,17.875,9700,12.08321475982666
2000-02-11,17.875,18.0,17.875,17.9375,24700,12.125462532043455
2000-02-14,18.0625,18.0625,17.875,18.0,7100,12.16770839691162
