Unnamed: 0.1,date,open,high,low,close,volume,adjclose
0,1986-07-09,10.6875,11.0625,10.5625,11.0,1116800,7.985681056976317
1,1986-07-10,11.0625,11.125,10.6875,10.9375,595600,7.940306663513184
2,1986-07-11,10.875,10.9375,10.5625,10.5625,800400,7.66806173324585
3,1986-07-14,10.625,10.625,10.125,10.25,738000,7.441202163696289
4,1986-07-15,10.1875,10.1875,9.3125,9.9375,2059200,7.214335918426514
5,1986-07-16,9.9375,10.5,9.9375,10.125,1160400,7.350457191467285
6,1986-07-17,10.125,10.25,10.0,10.1875,1046000,7.395827293395996
7,1986-07-18,10.1875,10.34375,10.0,10.25,1420000,7.441202163696289
8,1986-07-21,10.25,10.3125,10.1875,10.25,322800,7.441202163696289
9,1986-07-22,10.25,10.28125,10.1875,10.1875,390800,7.395827293395996
10,1986-07-23,10.25,10.25,10.0,10.0625,1004000,7.3050804138183585
11,1986-07-24,10.0625,10.125,9.8125,9.9375,1071600,7.214335918426514
12,1986-07-25,9.9375,10.125,9.875,10.0625,688400,7.3050804138183585
13,1986-07-28,10.0625,10.25,9.96875,10.125,414800,7.350457191467285
14,1986-07-29,10.0,10.1875,10.0,10.1875,278400,7.395827293395996
15,1986-07-30,10.0625,10.125,9.875,10.125,459200,7.350457191467285
16,1986-07-31,10.125,10.25,10.0,10.0625,1213600,7.3050804138183585
17,1986-08-01,10.0,10.125,9.75,9.75,1118000,7.078214645385742
18,1986-08-04,9.8125,9.8125,9.53125,9.75,892400,7.078214645385742
19,1986-08-05,9.75,9.75,9.5,9.5625,868800,6.942098140716553
20,1986-08-06,9.5625,9.625,9.125,9.125,550400,6.624484062194824
21,1986-08-07,9.0,9.0625,8.125,8.375,7560000,6.08000373840332
22,1986-08-08,8.4375,8.9375,8.375,8.875,2802000,6.442989826202393
23,1986-08-11,9.0,9.125,8.875,9.125,1428000,6.624484062194824
24,1986-08-12,9.125,9.4375,9.125,9.375,1155200,6.805973529815674
25,1986-08-13,9.4375,10.09375,9.375,9.6875,865600,7.032841682434082
26,1986-08-14,9.75,9.8125,9.375,9.5,762000,6.896722793579103
27,1986-08-15,9.5,9.5,9.1875,9.375,654400,6.805973529815674
