date,open,high,low,close,volume,adjclose
1980-01-02,7.046875,7.046875,6.78125,6.78125,1178400,0.20810666680335999
1980-01-03,6.78125,6.9375,6.6875,6.796875,2531200,0.20858606696128845
1980-01-04,6.796875,6.90625,6.75,6.765625,1976800,0.2076271027326584
1980-01-07,6.765625,6.828125,6.765625,6.765625,1813600,0.2076271027326584
1980-01-08,6.765625,6.84375,6.765625,6.828125,1138400,0.20954498648643494
1980-01-09,6.828125,6.890625,6.75,6.765625,2942400,0.2076271027326584
1980-01-10,6.765625,6.796875,6.71875,6.75,2179200,0.2071476131677628
1980-01-11,6.75,6.75,6.703125,6.703125,828800,0.20570915937423706
1980-01-14,6.703125,6.75,6.703125,6.703125,1560800,0.20570915937423706
1980-01-15,6.703125,6.75,6.6875,6.75,899200,0.2071476131677628
1980-01-16,6.75,7.0,6.75,6.78125,2994400,0.20810666680335999
1980-01-17,6.78125,6.875,6.75,6.796875,1909600,0.20858606696128845
1980-01-18,6.8125,7.125,6.8125,7.125,2181600,0.21865582466125488
1980-01-21,7.1875,7.4375,7.1875,7.421875,2758400,0.22776634991168976
1980-01-22,7.421875,7.46875,7.390625,7.390625,1402400,0.2268073856830597
1980-01-23,7.390625,7.59375,7.390625,7.53125,1192800,0.2311229705810547
1980-01-24,7.625,7.734375,7.625,7.640625,1468800,0.2344795763492584
1980-01-25,7.625,7.625,7.515625,7.625,1364000,0.23400002717971802
1980-01-28,7.625,7.796875,7.53125,7.75,1159200,0.23783601820468905
1980-01-29,7.75,7.828125,7.578125,7.640625,2205600,0.2344795763492584
1980-01-30,7.640625,7.75,7.609375,7.734375,997600,0.2373565435409546
1980-01-31,7.75,7.9375,7.75,7.78125,1500000,0.23879507184028625
1980-02-01,7.78125,8.0,7.703125,8.0,1424800,0.2455082535743713
1980-02-04,8.0,8.09375,7.9375,7.9375,1905600,0.2435902059078217
1980-02-05,7.9375,7.96875,7.875,7.96875,1188800,0.2445492595434189
1980-02-06,7.96875,8.5625,7.953125,8.5625,3314400,0.2627705633640289
1980-02-07,8.9375,9.34375,8.9375,9.09375,6178400,0.2790736854076385
1980-02-08,9.09375,9.4375,9.0625,9.421875,4455200,0.2891435921192169
1980-02-11,9.40625,9.40625,9.09375,9.09375,3916000,0.2790736854076385
1980-02-12,9.09375,9.15625,8.8125,9.125,2294400,0.280032753944397
1980-02-13,9.125,9.25,8.921875,8.9375,2192800,0.2742787301540375
1980-02-14,8.9375,9.109375,8.71875,8.84375,1524800,0.2714017033576965
1980-02-15,8.8125,8.8125,8.625,8.8125,1934400,0.2704426646232605
1980-02-19,8.78125,8.78125,8.625,8.703125,1345600,0.267085999250412
1980-02-20,8.75,9.3125,8.75,9.28125,2980800,0.2848277688026428
1980-02-21,9.28125,9.625,9.125,9.15625,3367200,0.2809916436672211
1980-02-22,9.15625,9.875,9.0625,9.671875,5061600,0.2968155741691589
1980-02-25,9.65625,9.65625,9.4375,9.578125,2221600,0.2939385771751404
1980-02-26,9.578125,10.0625,9.5,10.0625,3500800,0.3088034391403198
1980-02-27,10.0625,10.40625,9.875,9.875,4957600,0.3030492961406708
1980-02-28,9.875,10.09375,9.875,9.953125,2096000,0.3054467439651489
1980-02-29,9.953125,10.0625,9.890625,9.9375,1176800,0.3049671649932861
1980-03-03,9.921875,9.921875,9.796875,9.796875,1950400,0.3006517291069031
1980-03-04,9.796875,10.25,9.71875,10.171875,2537600,0.3121600449085236
1980-03-05,10.171875,10.625,10.125,10.125,2306400,0.31072115898132324
1980-03-06,10.109375,10.109375,9.71875,9.78125,2226400,0.3001721203327179
1980-03-07,9.71875,9.71875,9.46875,9.53125,2312800,0.29250001907348633
1980-03-10,9.53125,9.65625,9.375,9.46875,1666400,0.29058197140693665
1980-03-11,9.5625,9.75,9.5625,9.671875,1999200,0.2968155741691589
1980-03-12,9.671875,9.671875,9.390625,9.671875,1184000,0.2968155741691589
1980-03-13,9.671875,9.71875,9.28125,9.3125,1729600,0.2857867777347565
