Unnamed: 0.1,date,open,high,low,close,volume,adjclose
0,1999-05-04,76.0,77.25,70.0,70.375,22320900,55.47119140625
1,1999-05-05,69.875,69.875,66.25,69.125,7565700,54.48590469360352
2,1999-05-06,68.0,69.375,67.0625,67.9375,2905700,53.54988479614258
3,1999-05-07,67.9375,74.875,66.75,74.125,4862300,58.427040100097656
4,1999-05-10,73.375,73.5,70.25,70.6875,2589400,55.717506408691406
5,1999-05-11,70.0,71.1875,69.5,70.625,1839800,55.66824722290039
6,1999-05-12,71.0,74.875,69.125,73.5,2659300,57.93438720703125
7,1999-05-13,73.25,75.25,72.5,73.1875,1142900,57.68807601928711
8,1999-05-14,71.25,72.25,69.0625,70.1875,2058400,55.32339477539063
9,1999-05-17,69.125,70.25,68.0,68.625,2075000,54.0918083190918
10,1999-05-18,68.25,70.4375,68.125,68.625,1407100,54.0918083190918
11,1999-05-19,69.375,69.8125,68.75,69.3125,727400,54.63368606567383
12,1999-05-20,69.5625,70.125,68.375,68.375,520800,53.89474868774414
13,1999-05-21,68.125,68.8125,67.5,67.5,936200,53.20504760742188
14,1999-05-24,67.0,67.25,65.0,65.3125,1493000,51.48081588745117
15,1999-05-25,64.125,65.9375,64.0,64.5,1662400,50.84038162231445
16,1999-05-26,65.625,66.625,63.0625,66.0625,1602900,52.07199096679688
17,1999-05-27,65.0,67.75,64.6875,67.75,1220500,53.40210342407226
18,1999-05-28,67.75,68.8125,67.0,67.9375,901900,53.54988479614258
19,1999-06-01,66.625,66.625,63.5625,64.1875,953900,50.59407806396485
20,1999-06-02,63.75,64.0625,62.0,63.25,2204300,49.85511779785156
21,1999-06-03,64.0,64.1875,63.125,63.625,852600,50.150672912597656
22,1999-06-04,64.3125,67.0,64.3125,65.375,1357400,51.53007888793945
23,1999-06-07,65.1875,67.75,65.1875,65.9375,891900,51.97346496582031
24,1999-06-08,65.375,65.6875,63.75,63.75,571700,50.24921035766602
25,1999-06-09,64.25,65.5,63.625,65.5,611400,51.62861633300781
26,1999-06-10,64.875,64.9375,63.3125,63.375,664200,49.9536361694336
27,1999-06-11,63.9375,64.3125,62.3125,63.25,969300,49.85511779785156
28,1999-06-14,63.5,64.0,60.5,61.25,821100,48.27866744995117
29,1999-06-15,62.875,63.375,62.25,62.75,831700,49.46097183227539
30,1999-06-16,63.9375,65.4375,63.9375,65.25,690300,51.43154907226562
31,1999-06-17,64.5,66.875,64.5,65.0,955700,51.2344856262207
32,1999-06-18,64.25,64.875,63.5,64.8125,613900,51.08671188354492
33,1999-06-21,66.6875,69.9375,66.5625,69.5,1811000,54.78146743774414
34,1999-06-22,70.125,70.125,67.75,68.0,1165900,53.59916305541992
35,1999-06-23,67.0625,67.4375,64.875,65.0,1351700,51.2344856262207
36,1999-06-24,66.0625,66.5,64.5,65.0625,1408900,51.28375244140625
37,1999-06-25,65.5,66.8125,65.375,66.25,1111500,52.21977233886719
38,1999-06-28,66.4375,67.5,65.75,66.5625,784600,52.46611404418945
39,1999-06-29,66.0,68.5,66.0,67.75,629800,53.40210342407226
40,1999-06-30,68.5,72.25,66.125,72.25,2127600,56.94910430908203
41,1999-07-01,71.375,71.4375,69.75,70.8125,813600,55.8160171508789
42,1999-07-02,70.5625,71.1875,69.6875,70.9375,536900,55.91456985473633
43,1999-07-06,70.0,71.1875,69.25,70.5,747600,55.56973648071289
44,1999-07-07,69.5625,70.0,68.0,68.0,648800,53.59916305541992
45,1999-07-08,68.0,68.875,67.1875,67.25,424400,53.00800704956055
46,1999-07-09,67.4375,68.1875,67.25,67.25,312700,53.00800704956055
47,1999-07-12,68.0,68.9375,67.875,68.375,547700,53.89474868774414
48,1999-07-13,68.25,68.6875,67.625,67.875,969600,53.50065231323242
49,1999-07-14,67.375,67.75,67.3125,67.625,888200,53.30357360839844
50,1999-07-15,68.0,68.0,67.5,67.9375,864700,53.54988479614258
51,1999-07-16,67.75,68.75,67.75,68.0625,476700,53.64842987060547
52,1999-07-19,68.25,70.75,68.25,69.4375,646100,54.73223114013672
53,1999-07-20,69.125,70.4375,67.875,68.125,886100,53.69770050048828
54,1999-07-21,68.0,68.0625,67.125,67.875,626100,53.50065231323242
55,1999-07-22,68.125,68.25,66.5,66.5,579500,52.41683578491211
56,1999-07-23,66.375,66.375,64.0,64.0625,767200,50.49554443359375
57,1999-07-26,64.25,64.75,63.1875,63.25,749500,49.85511779785156
58,1999-07-27,64.25,65.75,63.3125,65.5,592200,51.62861633300781
59,1999-07-28,65.25,66.375,64.0,66.0625,584800,52.07199096679688
60,1999-07-29,65.5,65.5,64.5,65.0,646000,51.2344856262207
61,1999-07-30,65.0,65.0,63.625,64.3125,629600,50.69259643554688
62,1999-08-02,64.25,64.5625,62.375,62.8125,566400,49.51026916503906
63,1999-08-03,62.8125,62.8125,60.75,60.8125,837700,47.933815002441406
64,1999-08-04,60.5625,61.5,60.0,60.0,1281600,47.29336929321289
65,1999-08-05,59.8125,60.0,57.8125,59.25,1539900,46.70220565795898
66,1999-08-06,58.9375,58.9375,56.0,56.25,1308500,44.33755493164063
67,1999-08-09,56.5,57.5,55.8125,55.8125,1347500,43.99269485473633
68,1999-08-10,56.25,57.1875,55.1875,57.0,1817400,45.0255241394043
69,1999-08-11,57.875,61.5625,57.4375,61.5,1369200,48.58016967773438
70,1999-08-12,61.4375,62.1875,60.5625,60.6875,832800,47.9383430480957
71,1999-08-13,62.4375,63.25,62.0625,63.125,557400,49.8637924194336
72,1999-08-16,63.0,63.0,60.875,62.875,762600,49.66631698608398
73,1999-08-17,63.25,64.5,62.625,63.0,936900,49.76504898071289
74,1999-08-18,63.0,63.0,61.0625,62.3125,819300,49.22197341918945
75,1999-08-19,61.625,62.5,60.8125,61.5625,624600,48.6295280456543
76,1999-08-20,61.8125,62.9375,61.625,62.3125,439600,49.22197341918945
77,1999-08-23,62.8125,63.8125,62.625,63.625,837200,50.25873565673828
78,1999-08-24,63.5625,65.0,62.8125,63.4375,894200,50.11063003540039
79,1999-08-25,63.125,64.3125,62.3125,64.0,449900,50.55496597290039
80,1999-08-26,64.0,64.875,62.75,62.75,378400,49.56755065917969
81,1999-08-27,63.0,63.0,61.5,61.5625,265300,48.6295280456543
82,1999-08-30,61.75,61.75,59.3125,59.3125,438100,46.852210998535156
83,1999-08-31,59.5,60.5,58.6875,59.8125,496600,47.2471809387207
84,1999-09-01,60.5625,60.6875,59.8125,60.3125,560100,47.64213943481445
85,1999-09-02,59.5,60.4375,58.875,59.25,727600,46.80283737182617
86,1999-09-03,60.75,63.125,60.75,63.125,754900,49.8637924194336
87,1999-09-07,63.0,64.4375,62.4375,62.5,813600,49.37009048461914
88,1999-09-08,62.4375,63.625,62.125,62.5625,732100,49.4194564819336
89,1999-09-09,62.5,62.5625,61.0,61.75,448800,48.77764892578125
90,1999-09-10,62.375,63.09375,61.625,63.09375,636300,49.83910369873047
91,1999-09-13,62.1875,62.8125,62.0,62.125,250700,49.07384872436523
92,1999-09-14,61.375,61.375,58.75,59.375,1160600,46.90157699584961
93,1999-09-15,60.125,60.125,58.0625,58.3125,970200,46.06230545043945
94,1999-09-16,58.5625,59.125,57.4375,57.6875,753200,45.568603515625
95,1999-09-17,58.625,60.0625,58.5,60.0625,1116700,47.44466400146485
96,1999-09-20,60.0625,60.75,59.5,60.75,721800,47.98771667480469
97,1999-09-21,60.5625,61.75,58.375,59.125,2369100,46.70410537719727
98,1999-09-22,59.9375,62.0,59.0625,61.3125,1534700,48.43205642700195
99,1999-09-23,61.75,62.25,60.75,60.8125,889800,48.03709030151367
100,1999-09-24,61.0625,62.1875,60.875,61.9375,831400,48.92576599121094
101,1999-09-27,62.0,62.625,61.25,61.5625,624700,48.6295280456543
102,1999-09-28,61.3125,62.25,61.0625,62.25,819900,49.17261505126953
103,1999-09-29,62.375,62.75,61.125,61.4375,800900,48.53080749511719
104,1999-09-30,61.9375,62.5,61.0,61.0,1113400,48.18519973754883
105,1999-10-01,61.0,61.25,58.3125,59.1875,793300,46.75346755981445
106,1999-10-04,59.5,61.6875,59.5,61.6875,739400,48.728271484375
107,1999-10-05,62.125,63.25,61.375,62.25,1040500,49.17261505126953
108,1999-10-06,62.125,64.0,61.8125,64.0,944200,50.55496597290039
109,1999-10-07,64.0,64.125,63.1875,63.1875,366300,49.91316604614258
110,1999-10-08,62.5,63.9375,61.875,63.9375,488800,50.5056037902832
111,1999-10-11,63.75,63.9375,63.5,63.6875,229300,50.3081283569336
112,1999-10-12,63.6875,63.75,62.75,62.9375,644200,49.71568298339844
113,1999-10-13,62.375,62.625,60.6875,61.0,393000,48.18519973754883
114,1999-10-14,60.5,62.5625,58.875,62.0,1016000,48.97513198852539
115,1999-10-15,60.5,60.625,58.25,59.75,1088000,47.19781112670898
116,1999-10-18,60.25,60.25,57.9375,59.25,732700,46.80283737182617
117,1999-10-19,59.5,61.0,59.5,60.375,1082700,47.69149780273438
118,1999-10-20,60.5,62.375,60.5,61.75,499800,48.77764892578125
119,1999-10-21,61.25,61.8125,61.125,61.8125,281900,48.92210006713867
120,1999-10-22,62.75,65.75,62.6875,65.5,1644700,51.8405876159668
121,1999-10-25,64.9375,65.0,63.25,64.0,665000,50.65339660644531
122,1999-10-26,63.5,64.5625,61.8125,61.8125,650200,48.92210006713867
123,1999-10-27,62.0625,64.75,62.0,64.375,1412500,50.95020294189453
124,1999-10-28,64.5,72.5,64.5,72.0,3983400,56.98507690429688
125,1999-10-29,72.0625,73.75,70.1875,71.0,2490500,56.19361877441406
126,1999-11-01,70.5,71.0,69.3125,69.375,949300,54.907508850097656
127,1999-11-02,69.1875,71.75,69.125,69.75,543000,55.20431900024414
128,1999-11-03,69.8125,69.875,68.3125,68.75,924000,54.412818908691406
129,1999-11-04,69.6875,70.75,69.4375,70.125,570400,55.5011100769043
130,1999-11-05,72.0,74.3125,71.25,73.6875,1304900,58.3206787109375
131,1999-11-08,73.5,73.5,72.5,73.0,651600,57.77654647827149
132,1999-11-09,73.5,73.5625,71.75,71.875,695600,56.886131286621094
133,1999-11-10,71.0,72.75,70.625,71.9375,678700,56.93561935424805
134,1999-11-11,72.0,73.5,71.5625,73.3125,574300,58.02385711669922
135,1999-11-12,73.9375,79.8125,73.75,79.75,2227700,63.11893081665039
136,1999-11-15,78.75,79.9375,77.25,78.0,997100,61.73383712768555
137,1999-11-16,78.375,83.0,78.375,82.8125,1505100,65.54273223876953
138,1999-11-17,81.125,81.375,78.5625,79.5625,1245400,62.97048950195313
139,1999-11-18,79.8125,81.125,79.25,80.1875,1111500,63.46518325805664
140,1999-11-19,80.0,80.875,79.625,79.9375,329600,63.26727294921875
141,1999-11-22,79.5,80.25,78.5,79.6875,329900,63.06938934326172
142,1999-11-23,79.9375,80.625,77.5,77.75,656300,61.53596115112305
143,1999-11-24,77.5,77.75,76.75,77.125,515700,61.04131698608398
144,1999-11-26,77.1875,77.75,76.625,77.3125,107600,61.18972778320313
145,1999-11-29,77.25,77.25,74.375,74.5,517900,58.96371459960938
146,1999-11-30,74.75,77.125,74.5,75.125,925000,59.45840835571289
147,1999-12-01,74.75,76.1875,74.75,76.1875,500000,60.2993278503418
148,1999-12-02,76.25,77.625,76.25,77.5,453600,61.33811569213867
149,1999-12-03,78.5,80.6875,78.375,79.0625,669500,62.57476425170898
150,1999-12-06,79.1875,79.3125,76.5625,77.0,295100,60.9423942565918
151,1999-12-07,77.25,80.9375,77.25,80.9375,883100,64.05875396728516
152,1999-12-08,81.8125,81.8125,80.0,80.0,732200,63.316749572753906
153,1999-12-09,80.75,82.25,79.75,80.0,1205700,63.316749572753906
154,1999-12-10,80.0,82.4375,79.5625,82.0,1386300,64.89966583251953
155,1999-12-13,81.5,82.9375,81.0625,82.0625,938500,64.94910430908203
156,1999-12-14,81.4375,81.4375,77.8125,78.75,1105800,62.32743835449219
157,1999-12-15,77.75,79.5,77.75,79.4375,1073800,62.87153625488281
158,1999-12-16,79.1875,79.5,77.75,78.5625,307900,62.17904281616211
159,1999-12-17,78.625,80.5625,78.4375,80.1875,542100,63.46518325805664
160,1999-12-20,82.0,83.625,80.75,81.875,1302600,64.80076599121094
161,1999-12-21,80.625,83.0,79.5,80.9375,1189900,64.05875396728516
162,1999-12-22,81.0,81.375,79.125,79.6875,526800,63.06938934326172
163,1999-12-23,81.0,82.4375,80.6875,81.0,532000,64.10820770263672
164,1999-12-27,80.5,82.875,80.5,82.0625,389200,64.94910430908203
165,1999-12-28,82.0625,85.6875,82.0625,85.0,821800,67.27403259277344
