date,open,high,low,close,volume,adjclose
1993-02-23,8.0,8.125,7.65625,7.75,40594800,3.267573595046997
1993-02-24,7.875,8.0625,7.78125,7.96875,9426400,3.359804391860962
1993-02-25,8.0,8.15625,7.96875,8.15625,5229200,3.4388561248779297
1993-02-26,8.15625,8.28125,8.03125,8.28125,2761200,3.4915573596954346
1993-03-01,8.1875,8.21875,8.0,8.0,3014400,3.372978925704956
1993-03-02,8.0625,8.25,8.03125,8.21875,3022800,3.4652090072631836
1993-03-03,8.1875,8.3125,8.125,8.1875,2808800,3.4520339965820312
1993-03-04,8.15625,8.25,8.15625,8.15625,1783600,3.4388561248779297
1993-03-05,8.125,8.34375,8.0,8.3125,3868800,3.5047361850738525
1993-03-08,8.25,8.3125,8.1875,8.28125,2516000,3.4915573596954346
1993-03-09,8.25,8.625,8.25,8.53125,2449200,3.5969672203063965
1993-03-10,8.46875,8.90625,8.4375,8.875,3192800,3.7418999671936035
1993-03-11,8.96875,8.96875,8.78125,8.875,1276400,3.7418999671936035
1993-03-12,8.8125,9.0625,8.5,9.03125,2958800,3.8077762126922607
1993-03-15,9.0,9.0,8.8125,8.875,1858400,3.7418999671936035
1993-03-16,8.8125,8.90625,8.65625,8.6875,2182000,3.662845373153688
1993-03-17,8.6875,8.78125,8.59375,8.78125,2413600,3.70237135887146
1993-03-18,8.75,9.03125,8.75,9.0,1765200,3.794600486755371
1993-03-19,9.0625,9.0625,8.90625,8.90625,2397600,3.75507402420044
1993-03-22,8.9375,8.9375,8.78125,8.875,729200,3.7418999671936035
1993-03-23,8.875,8.875,8.6875,8.6875,924000,3.662845373153688
1993-03-24,8.6875,8.6875,8.34375,8.59375,1787600,3.623316764831543
1993-03-25,8.53125,8.59375,8.40625,8.59375,1080400,3.623316764831543
1993-03-26,8.875,9.15625,8.84375,9.15625,2376800,3.860480785369873
1993-03-29,9.09375,9.25,8.9375,9.25,1273600,3.9000065326690674
1993-03-30,9.375,9.59375,9.28125,9.59375,1463600,4.0449395179748535
1993-03-31,9.625,9.8125,9.5625,9.59375,1856000,4.0449395179748535
1993-04-01,9.46875,9.5,9.1875,9.25,1410000,3.9000065326690674
1993-04-02,9.125,9.28125,8.90625,8.90625,1338800,3.75507402420044
1993-04-05,8.875,9.09375,8.875,9.0625,873200,3.820952653884888
1993-04-06,9.09375,9.125,8.9375,8.9375,763200,3.7682511806488037
1993-04-07,8.90625,9.09375,8.90625,9.0625,240400,3.820952653884888
1993-04-08,9.0625,9.0625,9.0,9.03125,304000,3.8077762126922607
1993-04-12,9.03125,9.25,9.03125,9.25,217600,3.9000065326690674
1993-04-13,9.375,9.59375,9.375,9.53125,937600,4.018589496612549
1993-04-14,9.53125,9.8125,9.53125,9.78125,689600,4.123994350433351
1993-04-15,9.65625,9.65625,9.25,9.375,1319600,3.952709197998047
1993-04-16,9.4375,9.5,9.3125,9.34375,1452400,3.9395318031311035
1993-04-19,9.28125,9.34375,9.09375,9.125,861600,3.847304344177246
1993-04-20,9.21875,9.28125,8.65625,8.84375,2764000,3.72872257232666
1993-04-21,8.84375,8.96875,8.71875,8.71875,1372800,3.6760215759277344
1993-04-22,8.71875,8.875,8.6875,8.71875,1387600,3.6760215759277344
1993-04-23,8.6875,8.71875,8.5,8.59375,660400,3.623316764831543
1993-04-26,8.625,8.6875,8.3125,8.40625,1847200,3.5442655086517334
1993-04-27,8.3125,8.5,8.15625,8.5,1674000,3.5837910175323486
1993-04-28,8.5625,8.6875,8.46875,8.65625,726800,3.649667739868164
1993-04-29,8.65625,8.71875,8.625,8.625,228800,3.636493682861328
1993-04-30,8.65625,9.75,8.65625,9.6875,3105600,4.084465980529785
1993-05-03,9.5,9.5,9.125,9.1875,2001200,3.8736555576324463
1993-05-04,9.25,9.3125,9.15625,9.25,826000,3.9000065326690674
1993-05-05,9.21875,9.21875,9.125,9.15625,512000,3.860480785369873
1993-05-06,9.15625,9.15625,9.0,9.09375,183200,3.8341281414031982
1993-05-07,9.125,9.1875,9.09375,9.125,245200,3.847304344177246
1993-05-10,9.15625,9.3125,9.15625,9.25,708800,3.9000065326690674
1993-05-11,9.25,9.25,9.125,9.21875,568800,3.8868298530578613
1993-05-12,9.21875,9.28125,9.15625,9.21875,258000,3.8868298530578613
1993-05-13,9.15625,9.15625,9.0,9.0,163200,3.794600486755371
1993-05-14,8.96875,8.96875,8.59375,8.75,848000,3.6891956329345694
1993-05-17,8.75,8.96875,8.71875,8.90625,382000,3.75507402420044
1993-05-18,8.875,8.875,8.71875,8.8125,883600,3.715546131134033
1993-05-19,8.78125,8.96875,8.78125,8.90625,514800,3.75507402420044
1993-05-20,8.96875,8.96875,8.6875,8.75,936800,3.6891956329345694
1993-05-21,8.6875,8.6875,8.46875,8.5,834000,3.5837910175323486
1993-05-24,8.46875,8.65625,8.4375,8.65625,262400,3.649667739868164
1993-05-25,8.65625,8.6875,8.5625,8.625,662400,3.6789951324462886
1993-05-26,8.625,9.1875,8.625,9.15625,659200,3.905599355697632
1993-05-27,9.125,9.21875,8.75,8.78125,1011600,3.7456421852111816
1993-05-28,8.75,8.75,8.53125,8.59375,1338800,3.665663480758667
1993-06-01,8.59375,8.6875,8.59375,8.65625,330400,3.6923229694366455
1993-06-02,8.65625,8.75,8.65625,8.71875,295600,3.7189850807189937
1993-06-03,8.75,8.75,8.5625,8.5625,178800,3.6523349285125732
1993-06-04,8.5,8.625,8.46875,8.46875,211200,3.6123461723327637
1993-06-07,8.46875,8.5,8.40625,8.46875,314400,3.6123461723327637
1993-06-08,8.46875,8.5,8.4375,8.46875,295200,3.6123461723327637
1993-06-09,8.46875,8.59375,8.46875,8.59375,341200,3.665663480758667
1993-06-10,8.59375,8.59375,8.46875,8.5,166000,3.6256754398345934
1993-06-11,8.53125,8.59375,8.5,8.5625,148000,3.6523349285125732
1993-06-14,8.5625,8.6875,8.5625,8.59375,449200,3.665663480758667
1993-06-15,8.59375,8.59375,8.4375,8.5,208800,3.6256754398345934
1993-06-16,8.5,8.8125,8.5,8.75,1311600,3.732312679290772
1993-06-17,8.71875,8.84375,8.71875,8.78125,305200,3.7456421852111816
1993-06-18,8.78125,8.78125,8.53125,8.53125,1043600,3.6390061378479017
1993-06-21,8.46875,8.5,8.1875,8.46875,2092400,3.6123461723327637
1993-06-22,8.46875,8.46875,8.21875,8.46875,1855600,3.6123461723327637
1993-06-23,8.46875,8.5,8.40625,8.46875,1940400,3.6123461723327637
1993-06-24,8.71875,8.84375,8.625,8.78125,2887600,3.7456421852111816
1993-06-25,8.78125,9.09375,8.78125,9.0625,1870400,3.8656094074249268
1993-06-28,9.0625,9.75,9.0625,9.6875,3107600,4.132202625274658
1993-06-29,9.5,9.53125,9.25,9.3125,2186800,3.9722511768341056
1993-06-30,9.28125,9.375,9.21875,9.375,4777600,3.9989051818847656
1993-07-01,9.375,9.375,9.21875,9.25,2097200,3.945587158203125
1993-07-02,9.25,9.34375,9.21875,9.3125,932800,3.9722511768341056
1993-07-06,9.25,9.28125,9.1875,9.21875,1907600,3.9322566986083984
1993-07-07,9.1875,9.21875,9.09375,9.21875,1842000,3.9322566986083984
1993-07-08,9.21875,9.3125,9.15625,9.1875,2947200,3.9189279079437256
1993-07-09,9.15625,9.1875,9.03125,9.1875,2786000,3.9189279079437256
1993-07-12,9.1875,9.6875,9.15625,9.6875,7127600,4.132202625274658
1993-07-13,9.5625,9.5625,9.21875,9.21875,10491600,3.9322566986083984
1993-07-14,9.21875,9.21875,8.84375,8.90625,9687600,3.798961162567138
1993-07-15,8.6875,9.0,8.65625,8.96875,9809200,3.8256194591522217
1993-07-16,8.96875,9.03125,8.8125,8.9375,5910800,3.812292098999024
1993-07-19,8.9375,9.125,8.9375,9.09375,3670400,3.8789398670196533
1993-07-20,9.3125,9.625,9.15625,9.5,10484800,4.052225589752196
1993-07-21,9.53125,9.65625,9.40625,9.65625,4429200,4.118872165679932
1993-07-22,9.59375,9.59375,9.40625,9.4375,4458800,4.025564193725587
1993-07-23,9.375,9.40625,9.28125,9.34375,2494800,3.985575199127197
1993-07-26,9.3125,9.8125,9.3125,9.625,5059600,4.105543613433838
1993-07-27,9.59375,9.59375,9.40625,9.46875,2681600,4.038894176483153
1993-07-28,9.4375,9.5625,9.4375,9.4375,2142400,4.025564193725587
1993-07-29,9.4375,9.5625,9.125,9.3125,6696400,3.9722511768341056
1993-07-30,9.21875,9.3125,9.1875,9.3125,2814800,3.9722511768341056
1993-08-02,9.28125,9.3125,9.15625,9.25,3802400,3.945587158203125
1993-08-03,9.25,9.28125,9.15625,9.15625,2195600,3.905599355697632
1993-08-04,9.15625,9.3125,9.125,9.21875,1874000,3.9322566986083984
1993-08-05,9.25,9.3125,9.125,9.15625,3159600,3.905599355697632
1993-08-06,9.1875,9.46875,9.15625,9.46875,1455200,4.038894176483153
1993-08-09,9.5,9.65625,9.46875,9.625,3102400,4.105543613433838
1993-08-10,9.625,9.65625,9.46875,9.5625,1909600,4.0788865089416495
1993-08-11,9.5,9.59375,9.3125,9.3125,1448800,3.9722511768341056
1993-08-12,9.3125,9.4375,9.25,9.3125,1400400,3.9722511768341056
1993-08-13,9.3125,9.375,9.125,9.21875,2741600,3.9322566986083984
1993-08-16,9.25,9.28125,9.15625,9.1875,4885600,3.9189279079437256
1993-08-17,9.21875,9.28125,9.125,9.125,2332000,3.8922698497772217
1993-08-18,9.1875,9.375,9.1875,9.21875,3104000,3.9322566986083984
1993-08-19,9.25,9.28125,9.15625,9.15625,1936400,3.905599355697632
1993-08-20,9.15625,9.34375,9.15625,9.25,3114400,3.945587158203125
1993-08-23,9.25,9.40625,9.21875,9.375,3746400,3.9989051818847656
1993-08-24,9.375,9.90625,9.375,9.84375,6818000,4.198851585388184
1993-08-25,9.8125,10.0625,9.625,9.78125,6425200,4.172193527221681
1993-08-26,9.6875,9.875,9.5625,9.75,2404400,4.2018213272094735
1993-08-27,9.65625,9.65625,9.46875,9.5625,2082000,4.121016979217528
1993-08-30,9.5,10.03125,9.5,9.875,3517200,4.255690574645996
1993-08-31,9.875,9.96875,9.6875,9.71875,2750800,4.188352584838866
1993-09-01,9.625,9.90625,9.53125,9.84375,4567200,4.242223739624023
1993-09-02,9.875,10.0,9.84375,9.96875,3895200,4.296092033386231
1993-09-03,9.9375,9.9375,9.84375,9.84375,1690400,4.242223739624023
1993-09-07,9.875,10.03125,9.75,9.75,3728000,4.2018213272094735
1993-09-08,9.75,9.78125,9.375,9.5625,1824400,4.121016979217528
1993-09-09,9.5,9.6875,9.46875,9.625,2077200,4.147951126098634
1993-09-10,9.65625,9.8125,9.625,9.75,1771200,4.2018213272094735
1993-09-13,9.8125,9.90625,9.8125,9.875,2038400,4.255690574645996
1993-09-14,9.75,9.78125,9.65625,9.6875,2008000,4.174884796142578
1993-09-15,9.625,9.78125,9.46875,9.75,2201600,4.2018213272094735
1993-09-16,9.78125,10.21875,9.6875,10.125,3288000,4.363427639007568
1993-09-17,10.125,10.375,10.125,10.3125,4284800,4.4442338943481445
1993-09-20,10.5625,10.78125,10.40625,10.6875,5114400,4.605841636657715
1993-09-21,10.71875,11.03125,10.6875,10.6875,8490800,4.605841636657715
1993-09-22,10.8125,11.5,10.8125,11.15625,10200000,4.807853221893311
1993-09-23,11.15625,11.28125,11.0,11.1875,4121200,4.821320056915283
1993-09-24,11.125,11.15625,10.90625,11.03125,2685200,4.753981113433838
1993-09-27,11.03125,11.09375,10.8125,10.90625,3193600,4.700114727020264
1993-09-28,10.875,11.25,10.875,10.96875,3301600,4.727048397064209
1993-09-29,10.96875,11.09375,10.8125,10.90625,1548800,4.700114727020264
1993-09-30,10.96875,11.09375,10.78125,11.0,2790000,4.74051570892334
1993-10-01,10.9375,11.21875,10.90625,11.1875,2101200,4.821320056915283
1993-10-04,11.125,11.28125,11.125,11.25,2462000,4.848252296447754
1993-10-05,11.25,11.625,11.21875,11.5625,3352800,4.9829277992248535
1993-10-06,11.46875,11.5625,11.34375,11.4375,2213200,4.929060459136963
1993-10-07,11.375,11.40625,11.15625,11.25,1516400,4.848252296447754
1993-10-08,11.25,11.28125,10.90625,11.0625,2572400,4.767449855804443
1993-10-11,11.09375,11.15625,11.0,11.03125,1091200,4.753981113433838
1993-10-12,11.03125,11.21875,11.03125,11.1875,2398400,4.821320056915283
