ZIP Code,HPI
98126,967.19
98133,958.65
98075,952.36
98072,943.99
98109,939.86
98026,918.49
98020,910.78
98059,879.27
98027,875.35
98007,871.02
98146,862.29
98118,860.7
98043,830.2
98036,818.41
98021,816.8
98045,812.83
98166,805.03
98077,803.12
98011,769.97
98037,768.96
98106,753.88
98074,749.1
98012,742.32
98290,741.39
98028,739.76
98201,712.72
98229,699.79
98056,688.13
98108,686.76
98203,682.95
98058,681.49
98087,680.05
98208,676.53
98296,674.63
98031,664.35
98198,663
98178,658.75
98023,653.55
98226,651.08
98168,650.88
98110,647.71
98042,641.16
98270,640.33
98038,638.36
98335,635.95
98221,635.14
98271,630.74
98022,622.69
98003,621.31
98092,615.41
98055,610.56
98001,605.55
98332,605.44
98188,587.12
98274,584.45
98053,577.07
98277,576.7
98258,575.88
98223,558.17
98248,552.89
98204,545.45
98102,536.5
98273,531.76
98014,527.51
98032,520.46
98002,517.54
98030,505.44
98272,503.04
98148,480.71
98311,472.56
98310,459.6
98284,456.09
98312,455.74
98264,442.34
98024,427.8
98029,404.58
98338,393.4
98275,387.04
98260,385.27
98057,373.23
98239,350.41
98249,350.33
98019,339.48
98333,338.11
98236,331.29
98292,331.1
98051,326.9
98230,324.78
98247,322.24
98282,316.19
98354,313.46
98359,312.35
98329,307.09
98252,299.13
98321,291.4
98346,273.77
98039,269.06
98070,235.85
98328,229.96
98240,229
98065,228.7
98262,220.85
98244,211.3
98342,208.26
98253,207.37
98010,203.82
98233,202.24
98047,200.12
98339,198.02
98349,197.8
98250,194.36
98340,190.64
98295,186.25
98105,1830.09
98360,183.91
98337,181.44
98294,180.77
98276,180.43
98257,178.97
98251,172.03
98281,166.49
98358,163.74
98331,162.6
98232,161.87
98351,149.83
98266,149.13
98004,1484.18
98327,144.03
98115,1415.69
98103,1412.84
98116,1405.07
98325,137.92
98303,136.49
98117,1359.6
98320,133.8
98245,130.37
98033,1299.88
98112,1270.45
98107,1250.2
98119,1213
98040,1211.4
98199,1197.6
98006,1178.44
98144,1177.62
98008,1176.6
98136,1157.18
98237,115.96
98241,115.24
98261,114.59
98125,1137.5
98052,1123.37
98034,1100.28
98225,1076.82
98005,1070.98
98155,1045.7
98122,1040.35
98323,104.72
98177,1016.94
98220,596.60
98345,596.60
98356,596.60
98050.00,596.60
98068.00,596.60
98288.00,596.60
